slug consuntivo competenza,slug consuntivo cassa,slug preventivo,slug old,titolo,descrizione
consuntivo-entrate-accertamenti-contributi-pubblici,consuntivo-entrate-cassa-contributi-pubblici,preventivo-entrate-contributi-pubblici,contributi-pubblici,Contributi pubblici,"<p>Somma dei contributi che il Comune riceve dallo Stato, dalla Regione o da altri enti pubblici <a title=""Entrate derivanti da contributi e trasferimenti correnti"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_derivanti_da_contributi_e_trasferimenti_correnti_dello_Stato.2C_della_Regione_e_altri_Enti_Pubblici"" target=""_blank"">(Titolo II Entrate - ""Entrate derivanti da contributi e trasferimenti correnti"")</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-territorio-e-ambiente-edilizia-pubblica,consuntivo-spese-cassa-spese-somma-funzioni-territorio-e-ambiente-edilizia-pubblica,,edilizia-pubblica,Edilizia pubblica,"<p>Spese per l'edilizia pubblica, per il funzionamento degli uffici, l'offerta di agevolazioni ai cittadini in stato di bisogno, e per la costruzione e manutenzione di strutture. <a title=""Funzioni riguardanti la gestione del territorio e dell'ambiente"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_riguardanti_la_gestione_del_territorio_e_dell.27ambiente"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-servizi-pubblici-altri-servizi,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-altri-servizi,,entrate-altri-servizi,Altri servizi,"<p>Sono le <a title=""entrate extratributarie"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_extratributarie"" target=""_blank"">entrate extratributarie</a> realizzate nell'esercizio di servizi non direttamente riferiti a Funzioni.</p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-servizi-pubblici-amministrazione,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-amministrazione,,entrate-amministrazione,Amministrazione,"<p>Sono le <a title=""entrate extratributarie"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_extratributarie"" target=""_blank"">entrate extratributarie</a> realizzate dagli Uffici Comunali (Anagrafe, Stato Civile, ecc.).</p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-servizi-pubblici-cultura,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-cultura,,entrate-cultura,Cultura,"<p>Sono le <a title=""entrate extratributarie"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_extratributarie"" target=""_blank"">entrate extratributarie</a> realizzate durante manifestazioni o attivit&agrave; culturali.</p>"
consuntivo-entrate-accertamenti-entrate-extratributarie,consuntivo-entrate-cassa-entrate-extratributarie,preventivo-entrate-entrate-extratributarie,entrate-extratributarie,Entrate extratributarie,"<p>Somme delle entrate che il Comune realizza o prevede, diverse da tasse e imposte <a title=""entrate extratributarie"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_extratributarie"" target=""_blank"">(Tit. III - Entrate extratributarie)</a></p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-servizi-pubblici-giustizia,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-giustizia,,entrate-giustizia,Giustizia,"<p>Sono le <a title=""entrate extratributarie"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_extratributarie"" target=""_blank"">entrate extratributarie</a> realizzate dagli Uffici Giudiziari sul territorio.</p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-servizi-pubblici-istruzione,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-istruzione,,entrate-istruzione,Istruzione,"<p>Sono le <a title=""entrate extratributarie"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_extratributarie"" target=""_blank"">entrate extratributarie</a> realizzate nell'esercizio delle funzioni di Pubblica Istruzione.</p>"
consuntivo-entrate-accertamenti-entrate-per-conto-terzi,consuntivo-entrate-cassa-entrate-per-conto-terzi,preventivo-entrate-entrate-per-conto-terzi,entrate-per-conto-terzi,Entrate per conto terzi,"<p>Principalmente si tratta delle ritenute effettuate sugli stipendi quale sostituto d'imposta. Sono una partita di giro, tanto entra e tanto esce (spese per conto terzi) nel bilancio. <a title=""entrate da servizi per conto terzi"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_da_servizi_per_conto_terzi"" target=""_blank"">(Tit. VI - Entrate da servizi per conto terzi)</a></p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-servizi-pubblici-polizia-locale,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-polizia-locale,,entrate-polizia-locale,Polizia locale,"<p>Sono le <a title=""entrate extratributarie"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_extratributarie"" target=""_blank"">entrate extratributarie</a> realizzate nell'esercizio delle funzioni di Polizia, comprese le contravvenzioni per infrazioni al Codice della Strada.</p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-servizi-pubblici,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici,preventivo-entrate-entrate-extratributarie-servizi-pubblici,entrate-servizi-pubblici,Servizi pubblici,"<p>Proventi che l'ente comunale realizza con all'erogazione di servizi pubblici. <a title=""proventi dei servizi pubblici"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Proventi_dei_servizi_pubblici"" target=""_blank"">(Tit. III - Cat. 1 - Proventi dei servizi pubblici)</a></p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-servizi-pubblici-sociale,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-sociale,,entrate-sociale,Sociale,"<p>Sono le <a title=""entrate extratributarie"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_extratributarie"" target=""_blank"">entrate extratributarie</a> realizzate nell'esercizio delle funzioni nel settore Sociale (Asili nido, prevenzione, riabilitazione, anziani, ecc.).</p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-servizi-pubblici-sport,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-sport,,entrate-sport,Sport,"<p>Sono le <a title=""entrate extratributarie"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_extratributarie"" target=""_blank"">entrate extratributarie</a> realizzate nell'esercizio delle funzioni delle Funzioni nel settore sportivo, manifestazioni, corsi, ecc.</p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-servizi-pubblici-territorio-e-ambiente,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-territorio-e-ambiente,,entrate-territorio-e-ambiente,Territorio e ambiente,"<p>Sono le <a title=""entrate extratributarie"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_extratributarie"" target=""_blank"">entrate extratributarie</a> realizzate nell'esercizio delle funzioni di riguardanti la gestione di territorio e ambiente.</p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-servizi-pubblici-turismo,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-turismo,,entrate-turismo,Turismo,"<p>Sono le <a title=""entrate extratributarie"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_extratributarie"" target=""_blank"">entrate extratributarie</a> realizzate nell'esercizio delle funzioni nel settore del Turismo (manifestazioni, ecc).</p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-servizi-pubblici-viabilita-e-trasporti,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-viabilita-e-trasporti,,entrate-viabilita-e-trasporti,Viabilità e trasporti,"<p>Sono le <a title=""entrate extratributarie"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_extratributarie"" target=""_blank"">entrate extratributarie</a> realizzate nell'esercizio delle funzioni nel campo della Viabilit&agrave; e dei Trasporti.</p>"
consuntivo-spese-impegni-spese-somma-funzioni,consuntivo-spese-cassa-spese-somma-funzioni,preventivo-spese-spese-somma-funzioni,funzioni,funzioni,"<p>Le aree in cui dividono le attivit&agrave; del Comune. Sia le <a href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Spesa_corrente"" target=""_blank"">spese correnti</a> che le spese in conto capitale vengono suddivise in funzioni. <a title=""funzioni"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzione"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-amministrazione,consuntivo-spese-cassa-spese-somma-funzioni-amministrazione,preventivo-spese-spese-somma-funzioni-amministrazione,funzioni-amministrazione,Amministrazione,"<p>Somma di tutte le spese per gli uffici dei servizi comunali. <a title=""Funzioni di amministrazione"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_generali_di_amministrazione.2C_gestione_e_controllo"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-cultura,consuntivo-spese-cassa-spese-somma-funzioni-cultura,preventivo-spese-spese-somma-funzioni-cultura,funzioni-cultura,Cultura,"<p>Spese per la promozione di attivit&agrave; culturali, per la costruzione e manutenzione degli edifici adatti. <a title=""Cultura"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_relative_alla_cultura_e_ai_beni_culturali"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-giustizia,consuntivo-spese-cassa-spese-somma-funzioni-giustizia,preventivo-spese-spese-somma-funzioni-giustizia,funzioni-giustizia,Giustizia,"<p>Spese per gli uffici giudiziari presenti sul territorio. <a title=""Giustizia"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_relative_alla_giustizia"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-istruzione,consuntivo-spese-cassa-spese-somma-funzioni-istruzione,preventivo-spese-spese-somma-funzioni-istruzione,funzioni-istruzione,Istruzione,"<p>Spese per i servizi scolastici (esclusi gli asili nido) e la manutenzione degli stabili di proprietà. <a title=""Istruzione"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_di_istruzione_pubblica"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-polizia-locale,consuntivo-spese-cassa-spese-somma-funzioni-polizia-locale,preventivo-spese-spese-somma-funzioni-polizia-locale,funzioni-polizia-locale,Polizia locale,"<p>Spese per la polizia locale, incluso l'acquisto di beni, come automobili o strutture adeguate per gli uffici, e la manutazione degli stessi. <a title=""Polizia locale"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_di_polizia_locale"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-sport-manifestazioni-sportive,consuntivo-spese-cassa-spese-somma-funzioni-sport-manifestazioni-sportive,,manifestazioni-sportive,Manifestazioni sportive,"<p>Spese per le manifestazioni sportive di qualsiasi genere: organizzazione eventi, personale e promozione. <a title=""Sport"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_settore_sportivo_e_ricreativo"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-sociale,consuntivo-spese-cassa-spese-somma-funzioni-sociale,preventivo-spese-spese-somma-funzioni-sociale,funzioni-sociale,Sociale,"<p>Spese per l'erogazione dei servizi sociali ai cittadini. <a title=""Funzioni nel settore sociale"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_settore_sociale"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-sport,consuntivo-spese-cassa-spese-somma-funzioni-sport,preventivo-spese-spese-somma-funzioni-sport,funzioni-sport,Sport,"<p>Spese per l'erogazione di servizi sportivi, per la manuntezione e la costruzione di impianti sportivi, il sostegno o l'organizzazione di manifestazioni sportive. <a title=""Sport"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_settore_sportivo_e_ricreativo"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-territorio-e-ambiente,consuntivo-spese-cassa-spese-somma-funzioni-territorio-e-ambiente,preventivo-spese-spese-somma-funzioni-territorio-e-ambiente,funzioni-territorio-e-ambiente,Territorio e ambiente,"<p>Spese per gli interventi sul territorio, a favore dell'ambiente e per la manutenzione degli spazi comuni. <a title=""Funzioni relative alla gestione del territorio e dell'ambiente"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_riguardanti_la_gestione_del_territorio_e_dell.27ambiente"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-turismo,consuntivo-spese-cassa-spese-somma-funzioni-turismo,preventivo-spese-spese-somma-funzioni-turismo,funzioni-turismo,Turismo,"<p>Spese per la promozione del turismo locale. <a title=""Turismo"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_campo_turistico"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-viabilita-e-trasporti,consuntivo-spese-cassa-spese-somma-funzioni-viabilita-e-trasporti,preventivo-spese-spese-somma-funzioni-viabilita-e-trasporti,funzioni-viabilita-e-trasporti,Viabilità e trasporti,"<p>Spese per garantire i servizi di trasporto pubblico locale, le strade e i marciapiedi. <a title=""Viabilit&agrave; e Trasporti"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_campo_della_viabilit.C3.A0_e_dei_trasporti"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-viabilita-e-trasporti-illuminazione-pubblica,consuntivo-spese-cassa-spese-somma-funzioni-viabilita-e-trasporti-illuminazione-pubblica,,illuminazione-pubblica,Illuminazione pubblica,"Spese per gli impianti di illuminazione pubblica. <a title=""Viabilit&agrave; e Trasporti"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_campo_della_viabilit.C3.A0_e_dei_trasporti"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-entrate-accertamenti-imposte-e-tasse-imposte,consuntivo-entrate-cassa-imposte-e-tasse-imposte,preventivo-entrate-imposte-e-tasse-imposte,imposte,Imposte,"<p>Somme che i cittadini versano al Comune come contributo generico alle spese dell'amministrazione <a title=""imposte"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Imposta"" target=""_blank"">(Tit. I - Cat. 2 - Imposte)</a></p>"
consuntivo-entrate-accertamenti-imposte-e-tasse-imposte-imposte-altro,consuntivo-entrate-cassa-imposte-e-tasse-imposte-imposte-altro,preventivo-entrate-imposte-e-tasse-imposte-imposte-altro,imposte-altro,Imposte (altro),"<p>Somma di imposte: di scopo, di soggiorno; turistiche, sulla pubblicit&agrave; addizionale comunale sul consumo di energia elettrica, addizionale IRPEF, compartecipazione IVA e altre imposte (Tit I - Cat. 2 - Imposte - ISCOP; Tit. I- &nbsp;Cat. 2 - Imposte - Imposte di soggiorno Localit&agrave; turistiche; Tit. I - Cat. 2 - Imposte - Addizionale comunale sul consumo di energia; ...)</p>"
consuntivo-entrate-accertamenti-imposte-e-tasse,consuntivo-entrate-cassa-imposte-e-tasse,preventivo-entrate-imposte-e-tasse,imposte-e-tasse,Imposte e tasse,"<p>Somma di tutte le imposte e tasse che il Comune prevede/riscuote nell'anno (Titolo I Entrate - ""<a href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Entrate_tributarie"">Entrate tributarie</a>"")</p>"
